Created	03/05/16 16:44:33
Calibration	antiwindup1_013_000

Timestamp (mS)	Accelerator_Pedal_Position	Electronic_Throttle_feedback	Error	
     46598	45.38	47.62	-1.61	
     46660	42.45	44.80	-1.63	
     46723	38.14	40.96	-1.86	
     46785	32.96	35.84	-1.99	
     46848	28.26	30.98	-2.18	
     46910	23.18	26.37	-1.78	
     46972	19.17	21.63	-1.80	
     47035	15.45	17.66	-2.23	
     47097	14.18	14.98	-0.80	
     47160	14.18	14.98	-0.83	
     47222	14.18	15.10	-0.92	
     47284	14.18	15.10	-0.95	
     47347	14.18	15.10	-0.92	
     47409	14.18	15.10	-0.92	
     47472	14.18	15.10	-0.92	
     47534	14.28	15.10	-0.95	
     47596	14.28	15.10	-0.83	
     47659	14.28	15.23	-0.92	
     47721	14.28	15.23	-0.95	
     47784	14.18	15.10	-0.95	
     47846	14.28	15.10	-0.83	
     47908	14.28	15.23	-0.95	
     47971	14.18	15.10	-0.83	
     48033	14.28	15.10	-0.92	
     48096	14.18	14.98	-0.92	
     48158	14.28	15.10	-0.92	
     48220	14.18	15.10	-0.92	
